City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
247,Saint-Georges,GD,12.0564,-61.7485,82.08,83,20,11.5,few clouds
248,Ventspils,LV,57.3894,21.5606,51.73,100,0,8.05,clear sky
249,Florida,US,28.7505,-82.5001,81.0,68,40,8.05,scattered clouds
250,Dhankuta,NP,26.9833,87.3333,51.33,87,10,5.06,clear sky
251,Puntarenas,CR,9.9763,-84.8384,80.96,81,99,3.33,overcast clouds
252,Aksu,CN,41.1231,80.2644,37.53,48,0,2.24,clear sky
253,Alibag,IN,18.6411,72.8792,78.87,55,30,7.29,scattered clouds
254,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,87.89,60,100,2.62,overcast clouds
255,Cordoba,AR,-31.4135,-64.1811,74.19,60,75,16.11,broken clouds
256,Atbasar,KZ,51.8,68.3333,34.32,81,100,24.47,snow
257,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,73,94,10.98,overcast clouds
258,Baikunthpur,IN,23.25,82.55,58.01,57,2,2.89,clear sky
259,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,85,75,5.75,broken clouds
260,Grand Gaube,MU,-20.0064,57.6608,73.8,69,0,1.99,clear sky
261,Koygorodok,RU,60.445,50.9968,39.31,99,100,4.52,overcast clouds
262,Whittlesea,ZA,-32.1759,26.8244,62.1,84,100,3.04,overcast clouds
263,Jaisalmer,IN,26.9147,70.9181,75.18,26,7,6.89,clear sky
264,Togur,RU,58.3631,82.8265,27.61,97,98,7.65,light snow
265,Ketou,BJ,7.3633,2.5998,76.35,87,94,4.32,overcast clouds
266,Matagami,CA,49.7502,-77.6328,23.11,93,100,16.11,overcast clouds
267,Iqaluit,CA,63.7506,-68.5145,8.33,71,100,4.61,overcast clouds
268,Abu Dhabi,AE,24.4667,54.3667,82.42,81,0,4.61,clear sky
269,Kattivakkam,IN,13.2167,80.3167,80.69,86,100,4.34,overcast clouds
270,Bara,NG,10.3744,10.7288,77.32,29,30,7.45,scattered clouds
271,Wajid,SO,3.8093,43.2471,76.23,71,100,11.54,overcast clouds
272,Vestmannaeyjar,IS,63.4427,-20.2734,45.34,81,100,19.66,overcast clouds
273,Praia,CV,14.9215,-23.5087,77.54,73,40,17.27,scattered clouds
274,Salalah,OM,17.0151,54.0924,78.89,65,0,3.44,clear sky
275,Kruisfontein,ZA,-34.0033,24.7314,61.88,65,17,10.78,few clouds
276,Abu Samrah,SY,35.3029,37.1841,61.81,53,7,6.08,clear sky
277,Bay Roberts,CA,47.5999,-53.2648,44.06,97,100,7.0,heavy intensity rain
278,Jalu,LY,29.0331,21.5482,67.21,48,84,5.3,broken clouds
279,Kudahuvadhoo,MV,2.6708,72.8944,81.43,76,74,17.65,broken clouds
280,Ayagoz,KZ,47.9714,80.4392,32.47,88,100,15.75,overcast clouds
281,Ponta Delgada,PT,37.7333,-25.6667,61.52,72,40,10.36,scattered clouds
282,Saint-Augustin,CA,51.226,-58.6502,26.38,88,100,21.03,light snow
283,Teguise,ES,29.0605,-13.564,68.22,83,0,2.3,clear sky
284,Rosendal,NO,59.9867,6.0135,50.52,92,76,6.02,broken clouds
285,Rjukan,NO,59.8789,8.5941,44.04,70,100,4.36,overcast clouds
286,Changji,CN,44.0167,87.3167,30.99,86,0,2.24,clear sky
287,Tessalit,ML,20.1986,1.0114,75.87,18,39,9.4,scattered clouds
288,Chapais,CA,49.7834,-74.8492,33.58,99,100,3.91,light snow
289,Shiraz,IR,29.6036,52.5388,58.44,55,75,4.61,broken clouds
290,Kushmurun,KZ,52.4503,64.6311,35.38,97,100,23.29,light rain
291,Sao Filipe,CV,14.8961,-24.4956,76.95,72,5,9.86,clear sky
292,Zlobin,HR,45.2924,14.6541,49.3,64,0,8.05,clear sky
293,Boksitogorsk,RU,59.474,33.8485,45.52,72,53,16.58,broken clouds
294,Foldeak,HU,46.3167,20.5,48.34,74,43,3.91,scattered clouds
295,Alegrete,BR,-29.7831,-55.7919,84.47,51,100,13.69,moderate rain
296,Shupiyan,IN,33.7167,74.8333,35.11,61,4,2.62,clear sky
297,Lucapa,AO,-8.4192,20.7447,64.9,95,87,0.89,overcast clouds
298,Buba,GW,11.5833,-15.0,73.8,66,3,4.99,clear sky
299,Redondela,ES,42.2834,-8.6096,62.26,73,0,3.44,clear sky
300,Sakakah,SA,29.9697,40.2064,69.37,67,0,9.66,clear sky
301,Lusambo,CD,-4.9667,23.45,69.73,87,51,0.31,broken clouds
302,Solwezi,ZM,-12.1688,26.3894,62.89,90,100,2.8,overcast clouds
303,Humaita,BR,-7.5061,-63.0208,91.8,46,100,4.5,overcast clouds
304,Les Cayes,HT,18.2,-73.75,83.05,73,56,1.25,light rain
305,San Cristobal,VE,7.7669,-72.225,71.78,93,100,0.94,overcast clouds
306,Salinopolis,BR,-0.6136,-47.3561,80.19,80,82,8.9,broken clouds
307,Agirish,RU,61.9247,63.0231,6.71,96,97,5.79,overcast clouds
308,Uhlove,UA,44.8215,33.6045,49.33,74,12,4.23,few clouds
309,Muravlenko,RU,63.7898,74.523,2.46,96,100,18.03,overcast clouds
310,Konevo,RU,62.1215,39.3192,41.7,95,100,11.3,overcast clouds
311,Mbanza-Ngungu,CD,-5.25,14.8667,68.36,90,84,0.67,broken clouds
312,Alto Araguaia,BR,-17.3147,-53.2153,81.79,50,93,7.34,light rain
313,Almeirim,BR,-1.5233,-52.5817,86.54,56,60,4.21,broken clouds
314,Francistown,BW,-21.17,27.5079,68.38,82,100,7.07,overcast clouds
315,Skibbereen,IE,51.55,-9.2667,57.11,89,100,19.8,overcast clouds
316,Taormina,IT,37.8536,15.2885,62.04,77,100,2.98,overcast clouds
317,Lukovetskiy,RU,64.2956,41.9211,34.63,97,100,8.08,overcast clouds
318,Mananara,MG,-16.1667,49.7667,73.89,79,78,3.44,light rain
319,Banikoara,BJ,11.2985,2.4386,82.63,32,81,4.03,broken clouds
320,Aswan,EG,24.0934,32.907,76.3,35,0,8.05,clear sky
321,Savannah Bight,HN,16.45,-85.85,82.44,74,8,8.23,clear sky
322,San Pedro,PH,14.35,121.0167,78.03,92,20,1.14,few clouds
323,Touros,BR,-5.1989,-35.4608,79.03,78,3,12.17,clear sky
324,Artyom,AZ,40.4723,50.333,46.54,78,0,4.94,clear sky
